provider,category,product,dsl,isDecorator,resourceType,tagName,subType,iconPath,typeURI,docURI
Google Cloud Platform,Developer Tools,Cloud Tools for Eclipse,gcp_Cloud_Tools_for_Eclipse,false,cloud,terminal,gcp_Cloud_Tools_for_Eclipse,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Tools%20for%20Eclipse.svg,,
Google Cloud Platform,Developer Tools,Cloud Tools for PowerShell,gcp_Cloud_Tools_for_PowerShell,false,cloud,terminal,gcp_Cloud_Tools_for_PowerShell,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Tools%20for%20PowerShell.svg,,
Google Cloud Platform,Developer Tools,Cloud Tools for Visual Studio,gcp_Cloud_Tools_for_Visual_Studio,false,cloud,terminal,gcp_Cloud_Tools_for_Visual_Studio,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Cloud%20Tools%20for%20Visual%20Studio.svg,,
Google Cloud Platform,Developer Tools,Container Registry,gcp_Container_Registry,false,cloud,terminal,gcp_Container_Registry,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Container%20Registry.svg,,
Google Cloud Platform,Developer Tools,Gradle App Engine Plugin,gcp_Gradle_App_Engine_Plugin,false,cloud,terminal,gcp_Gradle_App_Engine_Plugin,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Gradle%20App%20Engine%20Plugin.svg,,
Google Cloud Platform,Developer Tools,IDE Plugins,gcp_IDE_Plugins,false,cloud,terminal,gcp_IDE_Plugins,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/IDE%20Plugins.svg,,
Google Cloud Platform,Developer Tools,Maven App Engine Plugin,gcp_Maven_App_Engine_Plugin,false,cloud,terminal,gcp_Maven_App_Engine_Plugin,icons/GCP%20Icons/Products%20and%20services/Developer%20Tools/Maven%20App%20Engine%20Plugin.svg,,
Google Cloud Platform,Databases,Cloud Bigtable,gcp_Cloud_Bigtable,false,cloud,terminal,gcp_Cloud_Bigtable,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Bigtable.svg,,
Google Cloud Platform,Databases,Cloud Datastore,gcp_Cloud_Datastore,false,cloud,terminal,gcp_Cloud_Datastore,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Datastore.svg,,
Google Cloud Platform,Databases,Cloud Firestore,gcp_Cloud_Firestore,false,cloud,terminal,gcp_Cloud_Firestore,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Firestore.svg,,
Google Cloud Platform,Databases,Cloud Memorystore,gcp_Cloud_Memorystore,false,cloud,terminal,gcp_Cloud_Memorystore,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Memorystore.svg,,
Google Cloud Platform,Databases,Cloud Spanner,gcp_Cloud_Spanner,false,cloud,terminal,gcp_Cloud_Spanner,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20Spanner.svg,,
Google Cloud Platform,Databases,Cloud SQL,gcp_Cloud_SQL,false,cloud,terminal,gcp_Cloud_SQL,icons/GCP%20Icons/Products%20and%20services/Databases/Cloud%20SQL.svg,,
Google Cloud Platform,Data Analytics,BigQuery,gcp_BigQuery,false,cloud,terminal,gcp_BigQuery,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/BigQuery.svg,,
Google Cloud Platform,Data Analytics,Cloud Composer,gcp_Cloud_Composer,false,cloud,terminal,gcp_Cloud_Composer,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Composer.svg,,
Google Cloud Platform,Data Analytics,Cloud Data Catalog,gcp_Cloud_Data_Catalog,false,cloud,terminal,gcp_Cloud_Data_Catalog,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Data%20Catalog.svg,,
Google Cloud Platform,Data Analytics,Cloud Data Fusion,gcp_Cloud_Data_Fusion,false,cloud,terminal,gcp_Cloud_Data_Fusion,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Data%20Fusion.svg,,
Google Cloud Platform,Data Analytics,Cloud Dataflow,gcp_Cloud_Dataflow,false,cloud,terminal,gcp_Cloud_Dataflow,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Dataflow.svg,,
Google Cloud Platform,Data Analytics,Cloud Datalab,gcp_Cloud_Datalab,false,cloud,terminal,gcp_Cloud_Datalab,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Datalab.svg,,
Google Cloud Platform,Data Analytics,Cloud Dataprep,gcp_Cloud_Dataprep,false,cloud,terminal,gcp_Cloud_Dataprep,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Dataprep.svg,,
Google Cloud Platform,Data Analytics,Cloud Dataproc,gcp_Cloud_Dataproc,false,cloud,terminal,gcp_Cloud_Dataproc,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20Dataproc.svg,,
Google Cloud Platform,Data Analytics,Cloud PubSub,gcp_Cloud_PubSub,false,cloud,terminal,gcp_Cloud_PubSub,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Cloud%20PubSub.svg,,
Google Cloud Platform,Data Analytics,Genomics,gcp_Genomics,false,cloud,terminal,gcp_Genomics,icons/GCP%20Icons/Products%20and%20services/Data%20Analytics/Genomics.svg,,
Google Cloud Platform,Compute,App Engine,gcp_App_Engine,false,cloud,terminal,gcp_App_Engine,icons/GCP%20Icons/Products%20and%20services/Compute/App%20Engine.svg,,
Google Cloud Platform,Compute,Cloud Functions,gcp_Cloud_Functions,false,cloud,terminal,gcp_Cloud_Functions,icons/GCP%20Icons/Products%20and%20services/Compute/Cloud%20Functions.svg,,
Google Cloud Platform,Compute,Cloud Run,gcp_Cloud_Run,false,cloud,terminal,gcp_Cloud_Run,icons/GCP%20Icons/Products%20and%20services/Compute/Cloud%20Run.svg,,
Google Cloud Platform,Compute,Compute Engine,gcp_Compute_Engine,false,cloud,terminal,gcp_Compute_Engine,icons/GCP%20Icons/Products%20and%20services/Compute/Compute%20Engine.svg,,
Google Cloud Platform,Compute,Container-Optimized OS,gcp_Container_Optimized_OS,false,cloud,terminal,gcp_Container_Optimized_OS,icons/GCP%20Icons/Products%20and%20services/Compute/Container-Optimized%20OS.svg,,
Google Cloud Platform,Compute,GKE On-Prem,gcp_GKE_On_Prem,false,cloud,terminal,gcp_GKE_On_Prem,icons/GCP%20Icons/Products%20and%20services/Compute/GKE%20On-Prem.svg,,
Google Cloud Platform,Compute,GPU,gcp_GPU,false,cloud,terminal,gcp_GPU,icons/GCP%20Icons/Products%20and%20services/Compute/GPU.svg,,
Google Cloud Platform,Compute,Kubetnetes Engine,gcp_Kubetnetes_Engine,false,cloud,terminal,gcp_Kubetnetes_Engine,icons/GCP%20Icons/Products%20and%20services/Compute/Kubetnetes%20Engine.svg,,
Google Cloud Platform,API Management,API Analytics,gcp_API_Analytics,false,cloud,terminal,gcp_API_Analytics,icons/GCP%20Icons/Products%20and%20services/API%20Management/API%20Analytics.svg,,
Google Cloud Platform,API Management,API Monetization,gcp_API_Monetization,false,cloud,terminal,gcp_API_Monetization,icons/GCP%20Icons/Products%20and%20services/API%20Management/API%20Monetization.svg,,
Google Cloud Platform,API Management,Apigee API Platform,gcp_Apigee_API_Platform,false,cloud,terminal,gcp_Apigee_API_Platform,icons/GCP%20Icons/Products%20and%20services/API%20Management/Apigee%20API%20Platform.svg,,
Google Cloud Platform,API Management,Apigee Sense,gcp_Apigee_Sense,false,cloud,terminal,gcp_Apigee_Sense,icons/GCP%20Icons/Products%20and%20services/API%20Management/Apigee%20Sense.svg,,
Google Cloud Platform,API Management,Cloud Endpoints,gcp_Cloud_Endpoints,false,cloud,terminal,gcp_Cloud_Endpoints,icons/GCP%20Icons/Products%20and%20services/API%20Management/Cloud%20Endpoints.svg,,
Google Cloud Platform,API Management,Developer Portal,gcp_Developer_Portal,false,cloud,terminal,gcp_Developer_Portal,icons/GCP%20Icons/Products%20and%20services/API%20Management/Developer%20Portal.svg,,
Google Cloud Platform,AI and Machine Learning,Advanced Solutions Lab,gcp_Advanced_Solutions_Lab,false,cloud,terminal,gcp_Advanced_Solutions_Lab,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/Advanced%20Solutions%20Lab.svg,,
Google Cloud Platform,AI and Machine Learning,AI Hub,gcp_AI_Hub,false,cloud,terminal,gcp_AI_Hub,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AI%20Hub.svg,,
Google Cloud Platform,AI and Machine Learning,AI Platform Data Labeling Service,gcp_AI_Platform_Data_Labeling_Service,false,cloud,terminal,gcp_AI_Platform_Data_Labeling_Service,icons/GCP%20Icons/Products%20and%20services/AI%20and%20Machine%20Learning/AI%20Platform%20Data%20Labeling%20Service.svg,,
