provider,category,product,dsl,kind,tagName,iconURL,typeURI,docURL
GCP,Developer Tools,Cloud Code for IntelliJ,gcp_Cloud_Code_for_IntelliJ,resource,gcp_Cloud_Code_for_IntelliJ,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Code for IntelliJ.svg,,
GCP,Developer Tools,Cloud Code,gcp_Cloud_Code,resource,gcp_Cloud_Code,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Code.svg,,
GCP,Developer Tools,Cloud Scheduler,gcp_Cloud_Scheduler,resource,gcp_Cloud_Scheduler,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Scheduler.svg,,
GCP,Developer Tools,Cloud SDK,gcp_Cloud_SDK,resource,gcp_Cloud_SDK,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud SDK.svg,,
GCP,Developer Tools,Cloud Source Repositories,gcp_Cloud_Source_Repositories,resource,gcp_Cloud_Source_Repositories,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Source Repositories.svg,,
GCP,Developer Tools,Cloud Tasks,gcp_Cloud_Tasks,resource,gcp_Cloud_Tasks,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Tasks.svg,,
GCP,Developer Tools,Cloud Test Lab,gcp_Cloud_Test_Lab,resource,gcp_Cloud_Test_Lab,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Test Lab.svg,,
GCP,Developer Tools,Cloud Tools for Eclipse,gcp_Cloud_Tools_for_Eclipse,resource,gcp_Cloud_Tools_for_Eclipse,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Tools for Eclipse.svg,,
GCP,Developer Tools,Cloud Tools for PowerShell,gcp_Cloud_Tools_for_PowerShell,resource,gcp_Cloud_Tools_for_PowerShell,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Tools for PowerShell.svg,,
GCP,Developer Tools,Cloud Tools for Visual Studio,gcp_Cloud_Tools_for_Visual_Studio,resource,gcp_Cloud_Tools_for_Visual_Studio,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Tools for Visual Studio.svg,,
GCP,Developer Tools,Container Registry,gcp_Container_Registry,resource,gcp_Container_Registry,assets/icons/GCP Icons/Products and services/Developer Tools/Container Registry.svg,,
GCP,Developer Tools,Gradle App Engine Plugin,gcp_Gradle_App_Engine_Plugin,resource,gcp_Gradle_App_Engine_Plugin,assets/icons/GCP Icons/Products and services/Developer Tools/Gradle App Engine Plugin.svg,,
GCP,Developer Tools,IDE Plugins,gcp_IDE_Plugins,resource,gcp_IDE_Plugins,assets/icons/GCP Icons/Products and services/Developer Tools/IDE Plugins.svg,,
GCP,Developer Tools,Maven App Engine Plugin,gcp_Maven_App_Engine_Plugin,resource,gcp_Maven_App_Engine_Plugin,assets/icons/GCP Icons/Products and services/Developer Tools/Maven App Engine Plugin.svg,,
GCP,Databases,Cloud Bigtable,gcp_Cloud_Bigtable,resource,gcp_Cloud_Bigtable,assets/icons/GCP Icons/Products and services/Databases/Cloud Bigtable.svg,,
