provider,category,product,dsl,isDecorator,resourceType,tagName,subType,iconPath,typeURI,docURI
Google Cloud Platform,Developer Tools,Gradle App Engine Plugin,gcp_Gradle_App_Engine_Plugin,false,cloud,terminal,gcp_Gradle_App_Engine_Plugin,icons/GCP Icons/Products and services/Developer Tools/Gradle App Engine Plugin.svg,,
Google Cloud Platform,Developer Tools,IDE Plugins,gcp_IDE_Plugins,false,cloud,terminal,gcp_IDE_Plugins,icons/GCP Icons/Products and services/Developer Tools/IDE Plugins.svg,,
Google Cloud Platform,Developer Tools,Maven App Engine Plugin,gcp_Maven_App_Engine_Plugin,false,cloud,terminal,gcp_Maven_App_Engine_Plugin,icons/GCP Icons/Products and services/Developer Tools/Maven App Engine Plugin.svg,,
Google Cloud Platform,Databases,Cloud Bigtable,gcp_Cloud_Bigtable,false,cloud,terminal,gcp_Cloud_Bigtable,icons/GCP Icons/Products and services/Databases/Cloud Bigtable.svg,,
Google Cloud Platform,Databases,Cloud Datastore,gcp_Cloud_Datastore,false,cloud,terminal,gcp_Cloud_Datastore,icons/GCP Icons/Products and services/Databases/Cloud Datastore.svg,,
Google Cloud Platform,Databases,Cloud Firestore,gcp_Cloud_Firestore,false,cloud,terminal,gcp_Cloud_Firestore,icons/GCP Icons/Products and services/Databases/Cloud Firestore.svg,,
Google Cloud Platform,Databases,Cloud Memorystore,gcp_Cloud_Memorystore,false,cloud,terminal,gcp_Cloud_Memorystore,icons/GCP Icons/Products and services/Databases/Cloud Memorystore.svg,,
Google Cloud Platform,Databases,Cloud Spanner,gcp_Cloud_Spanner,false,cloud,terminal,gcp_Cloud_Spanner,icons/GCP Icons/Products and services/Databases/Cloud Spanner.svg,,
Google Cloud Platform,Databases,Cloud SQL,gcp_Cloud_SQL,false,cloud,terminal,gcp_Cloud_SQL,icons/GCP Icons/Products and services/Databases/Cloud SQL.svg,,
Google Cloud Platform,Data Analytics,BigQuery,gcp_BigQuery,false,cloud,terminal,gcp_BigQuery,icons/GCP Icons/Products and services/Data Analytics/BigQuery.svg,,
Google Cloud Platform,Data Analytics,Cloud Composer,gcp_Cloud_Composer,false,cloud,terminal,gcp_Cloud_Composer,icons/GCP Icons/Products and services/Data Analytics/Cloud Composer.svg,,
Google Cloud Platform,Data Analytics,Cloud Data Catalog,gcp_Cloud_Data_Catalog,false,cloud,terminal,gcp_Cloud_Data_Catalog,icons/GCP Icons/Products and services/Data Analytics/Cloud Data Catalog.svg,,
Google Cloud Platform,Data Analytics,Cloud Data Fusion,gcp_Cloud_Data_Fusion,false,cloud,terminal,gcp_Cloud_Data_Fusion,icons/GCP Icons/Products and services/Data Analytics/Cloud Data Fusion.svg,,
Google Cloud Platform,Data Analytics,Cloud Dataflow,gcp_Cloud_Dataflow,false,cloud,terminal,gcp_Cloud_Dataflow,icons/GCP Icons/Products and services/Data Analytics/Cloud Dataflow.svg,,
Google Cloud Platform,Data Analytics,Cloud Datalab,gcp_Cloud_Datalab,false,cloud,terminal,gcp_Cloud_Datalab,icons/GCP Icons/Products and services/Data Analytics/Cloud Datalab.svg,,
Google Cloud Platform,Data Analytics,Cloud Dataprep,gcp_Cloud_Dataprep,false,cloud,terminal,gcp_Cloud_Dataprep,icons/GCP Icons/Products and services/Data Analytics/Cloud Dataprep.svg,,
Google Cloud Platform,Data Analytics,Cloud Dataproc,gcp_Cloud_Dataproc,false,cloud,terminal,gcp_Cloud_Dataproc,icons/GCP Icons/Products and services/Data Analytics/Cloud Dataproc.svg,,
Google Cloud Platform,Data Analytics,Cloud PubSub,gcp_Cloud_PubSub,false,cloud,terminal,gcp_Cloud_PubSub,icons/GCP Icons/Products and services/Data Analytics/Cloud PubSub.svg,,
Google Cloud Platform,Data Analytics,Genomics,gcp_Genomics,false,cloud,terminal,gcp_Genomics,icons/GCP Icons/Products and services/Data Analytics/Genomics.svg,,
Google Cloud Platform,Compute,App Engine,gcp_App_Engine,false,cloud,terminal,gcp_App_Engine,icons/GCP Icons/Products and services/Compute/App Engine.svg,,
Google Cloud Platform,Compute,Cloud Functions,gcp_Cloud_Functions,false,cloud,terminal,gcp_Cloud_Functions,icons/GCP Icons/Products and services/Compute/Cloud Functions.svg,,
Google Cloud Platform,Compute,Cloud Run,gcp_Cloud_Run,false,cloud,terminal,gcp_Cloud_Run,icons/GCP Icons/Products and services/Compute/Cloud Run.svg,,
Google Cloud Platform,Compute,Compute Engine,gcp_Compute_Engine,false,cloud,terminal,gcp_Compute_Engine,icons/GCP Icons/Products and services/Compute/Compute Engine.svg,,
Google Cloud Platform,Compute,Container-Optimized OS,gcp_Container_Optimized_OS,false,cloud,terminal,gcp_Container_Optimized_OS,icons/GCP Icons/Products and services/Compute/Container-Optimized OS.svg,,
Google Cloud Platform,Compute,GKE On-Prem,gcp_GKE_On_Prem,false,cloud,terminal,gcp_GKE_On_Prem,icons/GCP Icons/Products and services/Compute/GKE On-Prem.svg,,
Google Cloud Platform,Compute,GPU,gcp_GPU,false,cloud,terminal,gcp_GPU,icons/GCP Icons/Products and services/Compute/GPU.svg,,
Google Cloud Platform,Compute,Kubetnetes Engine,gcp_Kubetnetes_Engine,false,cloud,terminal,gcp_Kubetnetes_Engine,icons/GCP Icons/Products and services/Compute/Kubetnetes Engine.svg,,
Google Cloud Platform,API Management,API Analytics,gcp_API_Analytics,false,cloud,terminal,gcp_API_Analytics,icons/GCP Icons/Products and services/API Management/API Analytics.svg,,
Google Cloud Platform,API Management,API Monetization,gcp_API_Monetization,false,cloud,terminal,gcp_API_Monetization,icons/GCP Icons/Products and services/API Management/API Monetization.svg,,
Google Cloud Platform,API Management,Apigee API Platform,gcp_Apigee_API_Platform,false,cloud,terminal,gcp_Apigee_API_Platform,icons/GCP Icons/Products and services/API Management/Apigee API Platform.svg,,
Google Cloud Platform,API Management,Apigee Sense,gcp_Apigee_Sense,false,cloud,terminal,gcp_Apigee_Sense,icons/GCP Icons/Products and services/API Management/Apigee Sense.svg,,
Google Cloud Platform,API Management,Cloud Endpoints,gcp_Cloud_Endpoints,false,cloud,terminal,gcp_Cloud_Endpoints,icons/GCP Icons/Products and services/API Management/Cloud Endpoints.svg,,
Google Cloud Platform,API Management,Developer Portal,gcp_Developer_Portal,false,cloud,terminal,gcp_Developer_Portal,icons/GCP Icons/Products and services/API Management/Developer Portal.svg,,
Google Cloud Platform,AI and Machine Learning,Advanced Solutions Lab,gcp_Advanced_Solutions_Lab,false,cloud,terminal,gcp_Advanced_Solutions_Lab,icons/GCP Icons/Products and services/AI and Machine Learning/Advanced Solutions Lab.svg,,
Google Cloud Platform,AI and Machine Learning,AI Hub,gcp_AI_Hub,false,cloud,terminal,gcp_AI_Hub,icons/GCP Icons/Products and services/AI and Machine Learning/AI Hub.svg,,
Google Cloud Platform,AI and Machine Learning,AI Platform Data Labeling Service,gcp_AI_Platform_Data_Labeling_Service,false,cloud,terminal,gcp_AI_Platform_Data_Labeling_Service,icons/GCP Icons/Products and services/AI and Machine Learning/AI Platform Data Labeling Service.svg,,
Google Cloud Platform,AI and Machine Learning,AI Platform,gcp_AI_Platform,false,cloud,terminal,gcp_AI_Platform,icons/GCP Icons/Products and services/AI and Machine Learning/AI Platform.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Natural Language,gcp_AutoML_Natural_Language,false,cloud,terminal,gcp_AutoML_Natural_Language,icons/GCP Icons/Products and services/AI and Machine Learning/AutoML Natural Language.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Tables,gcp_AutoML_Tables,false,cloud,terminal,gcp_AutoML_Tables,icons/GCP Icons/Products and services/AI and Machine Learning/AutoML Tables.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Translation,gcp_AutoML_Translation,false,cloud,terminal,gcp_AutoML_Translation,icons/GCP Icons/Products and services/AI and Machine Learning/AutoML Translation.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Video Intelligence,gcp_AutoML_Video_Intelligence,false,cloud,terminal,gcp_AutoML_Video_Intelligence,icons/GCP Icons/Products and services/AI and Machine Learning/AutoML Video Intelligence.svg,,
Google Cloud Platform,AI and Machine Learning,AutoML Vision,gcp_AutoML_Vision,false,cloud,terminal,gcp_AutoML_Vision,icons/GCP Icons/Products and services/AI and Machine Learning/AutoML Vision.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud AutoML,gcp_Cloud_AutoML,false,cloud,terminal,gcp_Cloud_AutoML,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud AutoML.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Inference API,gcp_Cloud_Inference_API,false,cloud,terminal,gcp_Cloud_Inference_API,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud Inference API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Jobs API,gcp_Cloud_Jobs_API,false,cloud,terminal,gcp_Cloud_Jobs_API,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud Jobs API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Natural Language API,gcp_Cloud_Natural_Language_API,false,cloud,terminal,gcp_Cloud_Natural_Language_API,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud Natural Language API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Speech-to-Text,gcp_Cloud_Speech_to_Text,false,cloud,terminal,gcp_Cloud_Speech_to_Text,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud Speech-to-Text.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Text-to-Speech,gcp_Cloud_Text_to_Speech,false,cloud,terminal,gcp_Cloud_Text_to_Speech,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud Text-to-Speech.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud TPU,gcp_Cloud_TPU,false,cloud,terminal,gcp_Cloud_TPU,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud TPU.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Translation API,gcp_Cloud_Translation_API,false,cloud,terminal,gcp_Cloud_Translation_API,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud Translation API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Video Intelligence API,gcp_Cloud_Video_Intelligence_API,false,cloud,terminal,gcp_Cloud_Video_Intelligence_API,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud Video Intelligence API.svg,,
Google Cloud Platform,AI and Machine Learning,Cloud Vision API,gcp_Cloud_Vision_API,false,cloud,terminal,gcp_Cloud_Vision_API,icons/GCP Icons/Products and services/AI and Machine Learning/Cloud Vision API.svg,,
Google Cloud Platform,AI and Machine Learning,Dialog Flow Enterprise Edition,gcp_Dialog_Flow_Enterprise_Edition,false,cloud,terminal,gcp_Dialog_Flow_Enterprise_Edition,icons/GCP Icons/Products and services/AI and Machine Learning/Dialog Flow Enterprise Edition.svg,,
Google Cloud Platform,AI and Machine Learning,Recommendations AI,gcp_Recommendations_AI,false,cloud,terminal,gcp_Recommendations_AI,icons/GCP Icons/Products and services/AI and Machine Learning/Recommendations AI.svg,,
